year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_usd,gni_growth
1960,Germany,,,3.77,2715197280.00,1952.59,,
1960,France,,62225478001,5.43,3260127992.00,1699.25,62588196442,
1960,Italy,,40385288344,2.71,1009308856.00,794.82,40495892097,
1960,Japan,,44307342950,1.08,480555555.60,867.20,44096113141,
1960,Canada,,40461721693,4.19,1702442711.00,4251.44,,
1960,Russian Federation,,,,,,,
1960,United States,,543300000000,8.99,47346552670.00,5641.74,546400000000,
1960,United Kingdom,,73233967692,7.09,5129857090.00,3033.05,,
1960,Brazil,,17030465539,2.68,382729752.10,,,
1960,India,,37029883875,2.00,681765681.80,,36878683724,
1960,Mexico,,13040000000,0.67,84000000.00,,12666168000,
1960,South Africa,,7575396973,0.95,69999972.00,,7244997105,
1960,China,,59716467625,,,,59716467625,
1960,World,,1390300000000,6.34,,,1371150000000,
1961,Germany,,,3.74,3074753151.00,1994.32,,
1961,France,4.98,67461644222,5.30,3469940419.00,1745.20,67823034025,
1961,Italy,8.21,44842760293,2.57,1062907313.00,890.69,44941821182,
1961,Japan,12.04,53508617739,0.92,492361111.10,972.00,53216886420,
1961,Canada,3.16,40934952064,4.13,1677820881.00,4307.82,,
1961,Russian Federation,,,,,,,
1961,United States,2.30,563300000000,9.16,49879770605.00,5612.08,566800000000,
1961,United Kingdom,2.68,77741965703,6.92,5308314126.00,3006.75,,
1961,Brazil,8.60,17275940449,2.36,342339720.80,,,
1961,India,3.72,39232435784,2.07,748388248.40,,39026635578,3.61
1961,Mexico,5.00,14160000000,0.65,86400000.00,,13775344000,5.13
1961,South Africa,3.84,7972996814,1.47,113749954.50,,7600596963,3.56
1961,China,-27.27,50056868958,,,,50056868958,
1961,World,3.80,1446420000000,6.31,,,1435670000000,
1962,Germany,,,4.50,4055355090.00,2124.85,,
1962,France,6.84,75607529810,5.16,3774280041.00,1861.04,76152271792,
1962,Italy,6.20,50383891899,2.63,1222013656.00,1007.05,50471132482,
1962,Japan,8.91,60723018684,0.88,538194444.40,1013.26,60366887322,
1962,Canada,7.43,42227447632,4.00,1671313753.00,4451.56,,
1962,Russian Federation,,,,,,,
1962,United States,6.10,605100000000,9.33,54650942605.00,5774.59,609200000000,
1962,United Kingdom,1.10,81247564157,6.94,5597132751.00,3087.34,,
1962,Brazil,6.60,19231747852,2.40,387449035.50,,,
1962,India,2.93,42161481859,2.75,1065436065.00,,41934681632,2.92
1962,Mexico,4.66,15200000000,0.69,99200000.00,,14814304000,4.83
1962,South Africa,6.18,8497996604,2.25,186199925.50,,8174596734,6.96
1962,China,-5.58,47209359006,,,,47209359006,
1962,World,5.32,1548220000000,6.35,,,1539930000000,
1963,Germany,,,4.90,4688620298.00,2281.29,,
1963,France,6.23,84759195106,4.74,3887455990.00,1983.47,85419528679,
1963,Italy,5.61,57710743060,2.75,1463283724.00,1119.72,57801822228,
1963,Japan,8.47,69498131797,0.90,629861111.10,1147.29,69060415397,
1963,Canada,5.35,45029988561,3.62,1610091701.00,4694.12,,
1963,Russian Federation,,,,,,,
1963,United States,4.40,638600000000,8.83,54561215775.00,5986.78,643100000000,
1963,United Kingdom,4.87,86561961812,6.80,5810811571.00,3196.83,,
1963,Brazil,0.60,23287712878,2.26,441999606.20,,,
1963,India,5.99,48421923459,4.03,1795449295.00,,48186723224,6.04
1963,Mexico,8.11,16960000000,0.72,112000000.00,,16530280000,8.07
1963,South Africa,7.37,9423396235,2.06,188999924.40,,9099996364,7.71
1963,China,10.30,50706799903,,,,50706799903,
1963,World,5.19,1669090000000,6.01,,,1654580000000,
1964,Germany,,,4.38,4601309875.00,2341.15,,
1964,France,6.65,94007851047,4.54,4130961168.00,2085.16,94702729234,
1964,Italy,2.80,63175417019,2.73,1586666708.00,1221.73,63310021307,
1964,Japan,11.68,81749006382,0.88,718055555.60,1272.48,81163510670,
1964,Canada,6.64,49377522897,3.40,1657457283.00,4903.61,,
1964,Russian Federation,,,,,,,
1964,United States,5.80,685800000000,8.05,53432327058.00,6136.94,690700000000,
1964,United Kingdom,5.53,94407558351,6.60,6159898581.00,3212.53,,
1964,Brazil,3.40,20963733695,2.01,354227857.10,,,
1964,India,7.45,56480289941,3.82,1986654487.00,,56175789636,7.40
1964,Mexico,11.91,20080000000,0.68,120000000.00,,19477944000,11.45
1964,South Africa,7.94,10373995855,2.70,271599891.40,,9998796005,7.81
1964,China,18.18,59708343489,,,,59708343489,
1964,World,6.57,1827510000000,5.52,,,1823670000000,
1965,Germany,,,4.09,4686319021.00,2378.34,,
1965,France,4.86,101537000000,4.40,4304458189.00,2109.85,102253000000,
1965,Italy,3.27,67978153851,2.75,1719942315.00,1316.46,68239418775,
1965,Japan,5.82,90950278258,0.90,821388888.90,1374.53,90333954412,
1965,Canada,6.32,54515179581,2.93,1574704540.00,5153.93,,
1965,Russian Federation,,,,,,,
1965,United States,6.40,743700000000,7.59,54561791263.00,6307.89,749000000000,
1965,United Kingdom,2.14,101825000000,6.44,6475329220.00,3329.41,,
1965,Brazil,2.40,22465522884,3.35,632869026.50,,,
1965,India,-2.64,59554854575,3.87,2125989626.00,,59210461463,-2.69
1965,Mexico,7.10,21840000000,0.59,119200000.00,,21234640000,6.53
1965,South Africa,6.12,11334395471,2.63,289449884.20,,10918595637,6.11
1965,China,16.95,70436266147,,,,70436266147,
1965,World,5.56,1990870000000,5.31,,,1990170000000,
1966,Germany,,,3.91,4766403436.00,2387.68,,
1966,France,5.25,110046000000,4.29,4548130770.00,2122.92,110738000000,
1966,Italy,5.98,73654870011,2.99,1904604599.00,1431.07,74005443913,
1966,Japan,10.64,105628000000,0.88,932430555.60,1491.03,104943000000,
1966,Canada,6.70,61088384037,2.68,1614422827.00,5272.66,,
1966,Russian Federation,,,,,,,
1966,United States,6.50,815000000000,8.44,66442751527.00,6591.34,820100000000,
1966,United Kingdom,1.57,108573000000,6.25,6692138865.00,3306.78,,
1966,Brazil,6.70,28283323733,3.02,718216574.60,,25823978010,
1966,India,-0.06,45865462034,3.57,1661154906.00,,45536890605,-0.19
1966,Mexico,6.10,24320000000,0.58,130400000.00,,23566704000,5.69
1966,South Africa,4.44,12354995063,2.70,324449870.20,,11920995237,4.55
1966,China,10.65,76720285970,,,,76720285970,
1966,World,5.72,2160630000000,5.66,,,2152900000000,
1967,Germany,,,4.08,5037954037.00,2388.41,,
1967,France,4.92,118973000000,4.30,4918985396.00,2248.08,119729000000,
1967,Italy,7.18,81133120065,2.77,1928786564.00,1551.52,81443074752,
1967,Japan,11.08,123782000000,0.84,1039027778.00,1735.12,123005000000,
1967,Canada,3.09,65668655501,2.75,1775500366.00,5557.29,,
1967,Russian Federation,,,,,,,
1967,United States,2.50,861700000000,9.42,78398442241.00,6809.82,867100000000,
1967,United Kingdom,2.79,113117000000,6.24,6933197077.00,3345.55,,
1967,Brazil,4.20,31086389195,2.86,746139163.60,,29559163248,
1967,India,7.83,50134942203,3.22,1487733333.00,,49790942203,7.88
1967,Mexico,5.85,26560000000,0.55,133600000.00,,26201208000,7.96
1967,South Africa,7.20,13777394495,2.79,373099850.80,,13327994674,7.43
1967,China,-5.77,72881631327,,,,72881631327,
1967,World,4.16,2298980000000,6.11,,,2294160000000,
1968,Germany,,,3.41,4544109352.00,2561.52,,
1968,France,4.49,129785000000,4.14,5148997849.00,2359.88,130425000000,
1968,Italy,6.54,87942231678,2.65,1991165044.00,1698.43,88326648582,
1968,Japan,12.88,146601000000,0.79,1168194444.00,1939.42,145604000000,
1968,Canada,5.00,71829810520,2.54,1797265817.00,5871.52,,
1968,Russian Federation,,,,,,,
1968,United States,4.80,942500000000,9.27,84329031218.00,7073.48,948600000000,
1968,United Kingdom,5.44,107760000000,5.94,6220499923.00,3406.14,,
1968,Brazil,9.80,33930457425,2.65,755307566.70,,33065704448,
1968,India,3.39,53085455871,3.25,1586866667.00,,52745455871,3.41
1968,Mexico,9.42,29360000000,0.55,148800000.00,,28939512000,9.33
1968,South Africa,4.15,14894594048,2.76,399699840.10,,14377994255,3.95
1968,China,-4.10,70846535056,,,,70846535056,
1968,World,5.95,2481350000000,6.00,,,2496040000000,
1969,Germany,,,3.40,5150518691.00,2772.01,,
1969,France,7.11,141903000000,3.68,4964005294.00,2536.67,142382000000,
1969,Italy,6.10,97085082807,2.42,2003805617.00,1832.50,97575749223,
1969,Japan,12.48,172204000000,0.77,1335416667.00,2214.06,171076000000,
1969,Canada,5.05,79148411662,2.27,1770108751.00,6091.10,,
1969,Russian Federation,,,,,,,
1969,United States,3.10,1019900000000,8.63,84990165431.00,7332.37,1026000000000,
1969,United Kingdom,1.92,116465000000,5.50,6199702307.00,3557.13,,
1969,Brazil,9.50,37171640819,2.62,816622811.00,,36783720976,
1969,India,6.54,58447995017,3.14,1691433333.00,,58086661684,6.57
1969,Mexico,3.42,32480000000,0.60,180000000.00,,31985424000,3.32
1969,South Africa,4.72,16780393295,2.61,425599829.80,,16181193534,4.57
1969,China,16.94,79705906247,,,,79705906247,
1969,World,5.83,2736900000000,5.58,,,2755430000000,
1970,Germany,,215838000000,3.01,5805254072.00,3860.86,216937000000,
1970,France,6.11,148456000000,3.46,4941059320.00,2951.48,149053000000,
1970,Italy,5.27,113395000000,2.06,2216771793.00,2026.22,114365000000,
1970,Japan,2.51,212609000000,0.77,1575347222.00,2480.75,212376000000,
1970,Canada,,87896095320,2.19,1889157918.00,6476.39,86905583309,
1970,Russian Federation,,,,,,,
1970,United States,-0.35,1073300000000,8.03,83407993005.00,7569.08,1074360000000,
1970,United Kingdom,6.32,130672000000,5.20,6792098924.00,3684.95,141663000000,
1970,Brazil,10.40,42327664794,2.89,1026234374.00,,41728566936,
1970,India,5.16,62422483055,3.19,1832966667.00,,62043816388,5.18
1970,Mexico,6.50,35520000000,0.50,176800000.00,,34897440000,6.28
1970,South Africa,5.25,18418392640,2.33,417899832.80,,17754792906,5.25
1970,China,19.30,92602973434,,,,92602973434,
1970,World,3.92,2992440000000,4.97,,,3004230000000,
1971,Germany,3.13,249985000000,3.06,6829977561.00,3895.26,250911000000,3.06
1971,France,5.32,165967000000,3.32,5291990761.00,3027.82,166781000000,
1971,Italy,1.82,124672000000,2.24,2648079366.00,1949.15,125758000000,1.85
1971,Japan,4.70,240152000000,0.82,1896540416.00,2531.09,240076000000,4.77
1971,Canada,,99271961775,2.13,2077659711.00,6436.23,98159003763,
1971,Russian Federation,,,,,,,
1971,United States,3.29,1164850000000,6.94,78237979893.00,7644.52,1162930000000,3.35
1971,United Kingdom,3.50,148114000000,5.08,7518385128.00,3733.28,159914000000,3.43
1971,Brazil,11.34,48869830902,2.62,1075071453.00,715.84,48684157319,11.74
1971,India,1.64,67350988021,3.65,2255256983.00,267.35,66959943084,1.67
1971,Mexico,3.76,39200000000,0.49,191200000.00,809.64,38495400000,3.71
1971,South Africa,4.28,20333691316,2.46,485866527.20,2004.34,19677946200,4.65
1971,China,7.06,99800958648,,,464.93,99800958648,
1971,World,4.29,3305490000000,4.49,,1337.61,3316130000000,
1972,Germany,4.30,299802000000,3.17,8478070554.00,4017.34,300634000000,4.21
1972,France,4.51,203494000000,3.23,6326060061.00,3170.75,204303000000,4.42
1972,Italy,3.69,145260000000,2.39,3289362465.00,2050.74,146590000000,3.75
1972,Japan,8.41,318031000000,0.84,2567519428.00,2667.05,318385000000,8.56
1972,Canada,,113083000000,2.01,2233737031.00,6863.44,111973000000,
1972,Russian Federation,,,,,,,
1972,United States,5.26,1279110000000,6.52,80708070966.00,7941.00,1280510000000,5.28
1972,United Kingdom,4.32,169965000000,5.17,8789192637.00,3747.96,183406000000,4.21
1972,Brazil,11.94,58434858375,2.44,1195501488.00,749.01,58075347259,12.23
1972,India,-0.55,71463193830,3.72,2497244706.00,267.31,71072538513,-0.53
1972,Mexico,8.23,45200000000,0.54,242400000.00,869.19,44387480000,8.22
1972,South Africa,1.65,21357435928,2.37,492386546.20,1984.18,20654974276,1.50
1972,China,3.81,113688000000,,,477.17,113688000000,
1972,World,5.63,3811560000000,4.22,,1372.43,3832570000000,
1973,Germany,4.78,398374000000,3.16,11237904808.00,4240.06,399423000000,4.81
1973,France,6.34,264430000000,3.14,7976535302.00,3385.51,265236000000,6.24
1973,Italy,7.13,175492000000,2.20,3638240139.00,2175.59,176669000000,6.88
1973,Japan,8.03,432083000000,0.82,3374561100.00,2947.08,432615000000,8.05
1973,Canada,,131322000000,1.83,2363060955.00,7084.62,129948000000,
1973,Russian Federation,,,,,,,
1973,United States,5.65,1425380000000,5.89,81469794408.00,8163.60,1431850000000,5.87
1973,United Kingdom,6.52,192538000000,4.91,9446894124.00,3880.65,208162000000,6.75
1973,Brazil,13.97,83592275863,2.15,1512670977.00,801.68,78380807935,13.59
1973,India,3.30,85515269586,3.16,2529921054.00,268.60,85101941339,3.36
1973,Mexico,7.86,55280000000,0.54,300800000.00,933.09,54435528000,8.16
1973,South Africa,4.57,29295674714,2.65,752926325.60,2056.77,28370548144,4.47
1973,China,7.76,138544000000,,,483.72,138544000000,
1973,World,6.42,4650050000000,3.77,,1418.52,4673120000000,
1974,Germany,0.89,445303000000,3.26,12965199627.00,4158.27,446479000000,0.90
1974,France,4.30,285552000000,3.09,8361637313.00,3253.33,286106000000,4.18
1974,Italy,5.50,199564000000,2.07,3890003394.00,2212.21,199722000000,4.96
1974,Japan,-1.23,479626000000,0.86,3962157887.00,2924.25,479243000000,-1.38
1974,Canada,,160409000000,1.78,2809465529.00,7090.00,158581000000,
1974,Russian Federation,,,,,,,
1974,United States,-0.54,1545240000000,5.95,89278920340.00,7909.59,1553300000000,-0.43
1974,United Kingdom,-2.48,206131000000,5.07,10450754432.00,3734.84,224892000000,-2.49
1974,Brazil,8.15,109795000000,1.94,1790114213.00,833.20,104326000000,8.56
1974,India,1.19,99525899116,3.20,2895415720.00,272.71,99161036284,1.32
1974,Mexico,5.78,72000000000,0.57,407200000.00,964.95,70743688000,5.51
1974,South Africa,6.11,36807721038,3.09,1102318401.00,2077.14,35558230627,5.87
1974,China,2.31,144182000000,,,486.17,144182000000,
1974,World,1.81,5359410000000,3.79,,1391.13,5376930000000,
1975,Germany,-0.87,490637000000,3.28,14381443616.00,3984.97,492618000000,-0.78
1975,France,-0.96,360832000000,3.20,10945218802.00,3058.74,361759000000,-0.90
1975,Italy,-2.09,227696000000,1.98,4217069829.00,2106.08,228223000000,-1.99
1975,Japan,3.09,521542000000,0.91,4534902135.00,2734.12,521532000000,3.16
1975,Canada,,173834000000,1.86,3180915490.00,7170.41,171803000000,
1975,Russian Federation,,,,,,,
1975,United States,-0.21,1684900000000,5.62,92080928754.00,7656.26,1684550000000,-0.43
1975,United Kingdom,-1.47,241757000000,5.34,12907674884.00,3545.82,266675000000,-1.76
1975,Brazil,5.17,129204000000,1.97,2141126693.00,849.57,122017000000,4.58
1975,India,9.15,98472796457,3.53,3323646801.00,275.91,98178114598,9.23
1975,Mexico,5.74,88000000000,0.57,504800000.00,992.23,86091952000,5.29
1975,South Africa,1.70,38114542813,3.87,1431695127.00,2142.13,36575681331,1.28
1975,China,8.72,163432000000,,,527.49,163432000000,
1975,World,0.60,5970100000000,3.80,,1366.36,5987980000000,
1976,Germany,4.95,519754000000,3.14,14549820055.00,4314.58,522285000000,5.04
1976,France,4.36,372319000000,3.16,11175248198.00,3247.75,373386000000,4.39
1976,Italy,7.13,224717000000,1.83,3844185965.00,2264.06,225069000000,7.04
1976,Japan,3.97,586162000000,0.89,5008396504.00,2876.70,586222000000,3.98
1976,Canada,,206576000000,1.77,3581805735.00,7293.70,203585000000,
1976,Russian Federation,,,,,,,
1976,United States,5.39,1873410000000,5.19,94715251080.00,8100.56,1869600000000,5.52
1976,United Kingdom,2.91,232615000000,5.18,12038757739.00,3616.98,256622000000,2.97
1976,Brazil,10.26,153169000000,2.00,2576476982.00,870.86,150358000000,10.04
1976,India,1.66,102717000000,3.48,3294910612.00,280.45,102456000000,1.69
1976,Mexico,4.42,89025974026,0.60,531576968.50,1033.44,86770084416,4.00
1976,South Africa,2.25,36603349970,4.73,1677275419.00,2161.07,35101449971,2.25
1976,China,-1.57,153940000000,,,537.17,153940000000,
1976,World,5.30,6490820000000,3.67,,1421.10,6500040000000,
1977,Germany,3.35,600498000000,3.04,16288883939.00,4336.09,602463000000,3.26
1977,France,3.46,410279000000,3.23,12634633833.00,3172.81,411210000000,3.40
1977,Italy,2.56,257596000000,1.89,4556493518.00,2204.18,258297000000,2.67
1977,Japan,4.39,721412000000,0.89,6157312577.00,2899.68,721806000000,4.42
1977,Canada,,211612000000,1.81,3752174526.00,7431.44,207885000000,
1977,Russian Federation,,,,,,,
1977,United States,4.62,2081830000000,5.16,104665000000.00,8285.57,2082670000000,4.70
1977,United Kingdom,2.46,263066000000,4.92,12952124606.00,3695.38,286192000000,1.96
1977,Brazil,4.93,176344000000,1.69,2499644658.00,878.91,173253000000,4.76
1977,India,7.25,121487000000,3.16,3477080945.00,281.95,121215000000,7.28
1977,Mexico,3.39,81814159292,0.53,437692985.80,1088.62,79585539823,3.23
1977,South Africa,-0.09,40651349967,5.26,2073738018.00,2152.22,38913699968,-0.26
1977,China,7.57,174938000000,,,577.21,174938000000,
1977,World,4.08,7341430000000,3.75,,1445.22,7344290000000,
1978,Germany,3.01,740470000000,3.05,20159786212.00,4483.88,745554000000,3.32
1978,France,3.98,506708000000,3.15,15852894823.00,3369.34,508321000000,4.08
1978,Italy,3.24,315058000000,1.88,5540992658.00,2247.57,316003000000,3.27
1978,Japan,5.27,1013610000000,0.89,8657135933.00,2897.96,1015020000000,5.35
1978,Canada,,218633000000,1.85,3969158477.00,7561.74,213975000000,
1978,Russian Federation,,,,,,,
1978,United States,5.54,2351600000000,4.94,113382000000.00,8438.40,2349860000000,5.47
1978,United Kingdom,4.20,335883000000,4.73,15897336096.00,3675.44,363945000000,4.33
1978,Brazil,4.97,200279000000,1.60,2690623102.00,913.32,196081000000,4.29
1978,India,5.71,137300000000,3.13,3975819130.00,279.38,137110000000,5.80
1978,Mexico,8.96,102500000000,0.50,518287192.60,1186.65,99570083333,8.82
1978,South Africa,3.01,46739449962,4.56,2067988017.00,2218.84,44786749963,3.04
1978,China,11.33,149541000000,,,617.15,149541000000,
1978,World,4.11,8646230000000,3.57,,1476.55,8648130000000,
1979,Germany,4.15,881345000000,2.96,23323130253.00,4685.30,884771000000,3.95
1979,France,3.55,613953000000,3.14,19040482589.00,3495.90,616651000000,3.67
1979,Italy,5.96,393677000000,1.87,6904107163.00,2340.04,395900000000,6.24
1979,Japan,5.48,1055010000000,0.91,9173587661.00,3043.53,1057440000000,5.59
1979,Canada,,243072000000,1.71,4084145738.00,7862.21,237297000000,
1979,Russian Federation,,,,,,,
1979,United States,3.17,2627330000000,4.95,126880000000.00,8327.04,2614200000000,3.46
1979,United Kingdom,3.75,438994000000,4.68,20544684886.00,3858.98,470754000000,3.55
1979,Brazil,6.76,221338000000,1.52,2829161200.00,948.40,218945000000,6.39
1979,India,-5.24,152992000000,3.26,4589738352.00,285.54,153181000000,-5.00
1979,Mexico,9.70,134561000000,0.51,679663588.40,1269.81,130466000000,9.49
1979,South Africa,3.79,57645721018,3.86,2160867340.00,2234.70,55306116362,3.84
1979,China,7.59,178281000000,,,619.04,178281000000,
1979,World,4.19,10042600000000,3.50,,1493.38,10016400000000,
1980,Germany,1.41,950291000000,2.96,25125769752.00,4562.30,954146000000,1.45
1980,France,1.58,701288000000,3.16,22198183002.00,3476.52,706461000000,1.87
1980,Italy,3.43,477257000000,1.76,7915696626.00,2318.43,480256000000,3.51
1980,Japan,2.82,1105390000000,0.91,9711741591.00,2949.50,1106180000000,2.70
1980,Canada,,273854000000,1.76,4744402251.00,7828.84,267381000000,
1980,Russian Federation,,,,,,,
1980,United States,-0.26,2857310000000,5.15,143688000000.00,7942.25,2847060000000,-0.28
1980,United Kingdom,-2.03,564948000000,5.02,28360159220.00,3523.65,600547000000,-2.28
1980,Brazil,9.20,237393000000,1.14,2259307479.00,943.30,227300000000,8.59
1980,India,6.74,186325000000,3.13,5420809519.00,286.16,186762000000,6.85
1980,Mexico,9.23,205139000000,0.42,810422203.80,1403.67,198702000000,8.88
1980,South Africa,6.62,82980483388,3.30,2661671165.00,2289.56,79654998274,6.45
1980,China,7.83,191149000000,,,609.46,191149000000,
1980,World,1.81,11321400000000,3.52,366321000000.00,1454.89,11261200000000,
1981,Germany,0.53,800472000000,3.04,21738730858.00,4399.50,802341000000,0.45
1981,France,1.07,615552000000,3.25,20047753849.00,3379.17,619460000000,0.96
1981,Italy,0.84,430703000000,1.82,7387713298.00,2265.93,430142000000,0.21
1981,Japan,4.21,1218990000000,0.92,10851176225.00,2864.05,1218200000000,4.06
1981,Canada,,306215000000,1.71,5141128191.00,7555.24,296987000000,
1981,Russian Federation,,,,,,,
1981,United States,2.54,3207040000000,5.65,176559000000.00,7647.54,3201890000000,2.37
1981,United Kingdom,-0.79,540766000000,4.98,26948261221.00,3415.38,571291000000,-0.74
1981,Brazil,-4.25,258015000000,1.14,2517859757.00,883.88,252659000000,-5.10
1981,India,6.01,193491000000,3.19,5879007036.00,293.74,193535000000,5.79
1981,Mexico,8.53,263959000000,0.51,1284948561.00,1463.21,253845000000,7.62
1981,South Africa,5.36,85454420500,3.64,3011979548.00,2451.92,81875255314,5.41
1981,China,5.11,195866000000,,,597.15,195783000000,
1981,World,1.93,11712400000000,3.80,404073000000.00,1414.45,11652800000000,
1982,Germany,-0.39,776576000000,3.03,21037571076.00,4257.86,777698000000,-0.48
1982,France,2.51,584878000000,3.22,18918492344.00,3280.26,586300000000,2.12
1982,Italy,0.41,427273000000,2.01,8062597403.00,2206.54,426273000000,0.32
1982,Japan,3.31,1134520000000,0.93,10193936012.00,2839.87,1136200000000,3.54
1982,Canada,,313507000000,1.95,6017321456.00,7173.56,303780000000,
1982,Russian Federation,,,,,,,
1982,United States,-1.80,3343790000000,6.81,221674000000.00,7259.08,3371450000000,-1.73
1982,United Kingdom,1.99,515049000000,5.38,27714188335.00,3397.12,542822000000,1.90
1982,Brazil,0.83,271314000000,1.30,3031328924.00,877.86,267229000000,-0.21
1982,India,3.48,200715000000,3.35,6302107956.00,298.08,200057000000,3.13
