year;civil_conflicts;state_intervention;conflict_between_states;total;gdp_ger;gdp_fra;gdp_ita;gdp_jpn;gdp_can;gdp_rus;gdp_usa;gdp_gbr;gdp_bra;gdp_ind;gdp_mex;gdp_zaf;gdp_chn;gdp_wld
1989;33;5;2;40;1398970000000;1025210000000;928661000000;3054910000000;565056000000;506500000000;5641580000000;926885000000;347028000000;296042000000;221401000000;99030856825;347768000000;20171300000000
1990;44;3;2;49;1771670000000;1269180000000;1181220000000;3132820000000;593930000000;516814000000;5963140000000;1093170000000;390726000000;320979000000;261254000000;115552000000;360858000000;22739500000000
1991;48;2;2;52;1868950000000;1269280000000;1246220000000;3584420000000;610328000000;517963000000;6158130000000;1142800000000;342609000000;270105000000;313143000000;123943000000;383373000000;23707000000000
1992;44;4;1;49;2131570000000;1401470000000;1320160000000;3908810000000;592388000000;460291000000;6520330000000;1179660000000;328188000000;288208000000;363158000000;134545000000;426916000000;25393700000000
1993;37;6;0;43;2071320000000;1322820000000;1064960000000;4454140000000;577171000000;435084000000;6858560000000;1061390000000;368296000000;279296000000;500736000000;147197000000;444731000000;25822500000000
1994;46;2;0;48;2205070000000;1393980000000;1099220000000;4998800000000;578139000000;395077000000;7287240000000;1140490000000;525370000000;327276000000;527813000000;153513000000;564325000000;27872400000000
1995;37;2;1;40;2585790000000;1601090000000;1174660000000;5545560000000;604032000000;395537000000;7639750000000;1346420000000;769333000000;360282000000;360074000000;171735000000;734548000000;31043800000000
1996;36;3;2;41;2497240000000;1605680000000;1312430000000;4923390000000;628546000000;391725000000;8073120000000;1421510000000;850426000000;392897000000;410976000000;163237000000;863747000000;31736300000000
1997;35;4;1;40;2211990000000;1452880000000;1241880000000;4492450000000;654987000000;404929000000;8577550000000;1559570000000;883206000000;415868000000;500413000000;168977000000;961604000000;31619800000000
1998;32;6;2;40;2238990000000;1503110000000;1270050000000;4098360000000;634000000000;270955000000;9062820000000;1653390000000;863711000000;421351000000;526502000000;152983000000;1029040000000;31539700000000
1999;32;6;2;40;2194950000000;1493150000000;1252450000000;4635980000000;678412000000;195907000000;9630660000000;1685760000000;599642000000;458820000000;600233000000;151517000000;1094000000000;32736600000000
2000;32;4;2;38;1947980000000;1365640000000;1146680000000;4968360000000;744773000000;259710000000;10252300000000;1662130000000;655448000000;468395000000;707907000000;151753000000;1211350000000;33831900000000
2001;32;5;2;39;1945790000000;1377660000000;1168020000000;4374710000000;738982000000;306602000000;10581800000000;1643910000000;559984000000;485441000000;756706000000;135430000000;1339400000000;33614900000000
2002;29;3;1;33;2078480000000;1501410000000;1276770000000;4182850000000;760649000000;345470000000;10936400000000;1784080000000;509795000000;514938000000;772106000000;129088000000;1470550000000;34918200000000
2003;27;3;2;32;2501640000000;1844540000000;1577620000000;4519560000000;895541000000;430348000000;11458200000000;2057090000000;558234000000;607699000000;729336000000;197020000000;1660290000000;39148000000000
2004;29;4;0;33;2814350000000;2119630000000;1806540000000;4893120000000;1026690000000;591017000000;12213700000000;2421810000000;669289000000;709149000000;782241000000;255807000000;1955350000000;44114300000000
2005;27;5;0;32;2846860000000;2196950000000;1858220000000;4831470000000;1173110000000;764017000000;13036600000000;2544830000000;891634000000;820382000000;877476000000;288868000000;2285970000000;47777900000000
2006;28;5;0;33;2994700000000;2320540000000;1949550000000;4601660000000;1319260000000;989931000000;13814600000000;2717060000000;1107630000000;940260000000;975387000000;303861000000;2752130000000;51778700000000
2007;31;4;0;35;3425580000000;2660590000000;2213100000000;4579750000000;1468820000000;1299710000000;14451900000000;3106180000000;1397110000000;1216740000000;1052700000000;333075000000;3550340000000;58337500000000
2008;30;7;1;38;3745260000000;2930300000000;2408660000000;5106680000000;1552990000000;1660850000000;14712800000000;2938880000000;1695860000000;1198900000000;1109990000000;316132000000;4594310000000;64071500000000
2009;30;7;0;37;3411260000000;2700890000000;2199930000000;5289490000000;1374630000000;1222640000000;14448900000000;2425800000000;1667000000000;1341890000000;900045000000;329753000000;5101700000000;60781000000000
2010;23;8;0;31;3399670000000;2645190000000;2136100000000;5759070000000;1617340000000;1524920000000;14992100000000;2491110000000;2208840000000;1675620000000;1057800000000;417365000000;6087160000000;66500500000000
2011;30;7;1;38;3749310000000;2865160000000;2294990000000;6233150000000;1793330000000;2045930000000;15542600000000;2674890000000;2616160000000;1823050000000;1180490000000;458202000000;7551500000000;73671500000000
2012;23;9;1;33;3527140000000;2683670000000;2086960000000;6272360000000;1828370000000;2208300000000;16197000000000;2719160000000;2465230000000;1827640000000;1201090000000;434401000000;8532230000000;75311600000000
2013;27;9;0;36;3733800000000;2811880000000;2141920000000;5212330000000;1846600000000;2292470000000;16784800000000;2803290000000;2472820000000;1856720000000;1274440000000;400886000000;9570410000000;77443200000000
2014;28;13;1;42;3889090000000;2855960000000;2162010000000;4896990000000;1805750000000;2059240000000;17527200000000;3087170000000;2456040000000;2039130000000;1315350000000;381199000000;10475700000000;79575500000000
2015;31;20;1;52;3357590000000;2439190000000;1836640000000;4444930000000;1556510000000;1363480000000;18238300000000;2956570000000;1802210000000;2103590000000;1171870000000;346710000000;11061600000000;75117100000000
2016;34;18;2;54;3469850000000;2472960000000;1877070000000;5003680000000;1527990000000;1276790000000;18745100000000;2722850000000;1795690000000;2294800000000;1078490000000;323586000000;11233300000000;76313200000000
2017;29;21;1;51;3690850000000;2595150000000;1961800000000;4930840000000;1649270000000;1574200000000;19543000000000;2699020000000;2063510000000;2651470000000;1158910000000;381449000000;12310400000000;81224600000000
2018;31;19;2;52;3977290000000;2790960000000;2091930000000;5036890000000;1725330000000;1657330000000;20611900000000;2900790000000;1916930000000;2701110000000;1222410000000;404842000000;13894800000000;86274300000000
2019;28;25;2;55;3888330000000;2728870000000;2009380000000;5148780000000;1742020000000;1687450000000;21433200000000;2878670000000;1877820000000;2870500000000;1269430000000;387935000000;14279900000000;87568100000000
2020;28;25;3;56;3846410000000;2630320000000;1888710000000;5057760000000;1645420000000;1483500000000;20953000000000;2759800000000;1444730000000;2660250000000;1073920000000;335442000000;14722700000000;84747000000000
